ACCx angle,ACCy angle,GRYx Angle,GRYy Angle,GRYz Angle,CFangleX Angle,CFangleY Angle,kalmanX,kalmanY
197.35402631343834,183.5486835337593,6.071204088250001,18.620000000000005,-6.93,200.55217811456407,183.7841657183884,197.50809727687508,183.54113349859423
197.10273064409378,182.92990619520597,6.281766079750001,19.180000000000003,-7.069999999999999,198.5667344288819,183.49561000447895,196.97047150540112,182.9496257332638
203.19859224049415,183.16728881776552,6.49232807125,20.020000000000003,-7.419999999999999,201.43007391244925,183.6346172924509,203.07669287616983,183.1578393548931
199.65382575477474,183.15484442129983,6.8081710585,20.790000000000003,-7.909999999999999,200.49066221274455,183.65475356976026,199.81494723805005,183.1572123662605
203.19859224049415,183.16728881776552,7.159107711,21.560000000000002,-8.26,202.25579489039433,183.67027471856343,203.0949701823882,183.16711250330496
205.01689522039848,183.40644531364077,7.3696697024999995,22.680000000000003,-8.75,203.9966798849968,183.95997707560986,205.03531524707188,183.40819986319772
206.5650529325332,183.16728881776552,7.720606354999999,23.100000000000005,-9.17,205.67807837451863,183.65236412090326,206.57237310715274,183.16430806647983
203.19859224049415,183.15484442129983,7.96626201175,23.940000000000005,-9.31,204.28864895680394,183.6898523011412,203.25970319105232,183.15724185147226
199.44003652308075,183.87467476619034,8.31719866425,24.710000000000004,-9.31,201.51985615757002,184.1087457801707,199.446529190978,183.8651537790945
203.62937946116375,183.67660344773086,8.562854321,25.550000000000004,-9.31,202.88383240242626,184.1854603807068,203.53840710935953,183.68758813690343
213.69006934198563,182.70487753841954,8.9137909735,26.250000000000004,-9.59,209.50794922716187,183.57711067533444,213.6287543689767,182.71171308375645
208.30075753621216,182.95311840828074,9.264727625999999,26.950000000000003,-9.8,208.92400887359204,183.4827153151022,208.45504567245595,182.9409017751868
204.77514230907593,182.9414665486056,9.510383282749999,27.930000000000003,-10.15,206.53295119758238,183.54996605520424,204.75723637610787,182.94646359805373
203.19859224049415,183.11809055824082,9.82622627,28.490000000000002,-10.360000000000001,204.65867301822942,183.5148407570262,203.18064547958605,183.11280632871666
203.19859224049415,183.16728881776552,10.00169459625,29.400000000000002,-10.71,203.85281188208825,183.6703095934698,203.18445592950246,183.17126106213627
204.77514230907593,182.92990619520597,10.142069257249998,30.450000000000003,-10.99,204.46236000268087,183.6460675545115,204.76260833827234,182.93330188847835
203.19859224049415,183.16728881776552,10.387724913999998,31.430000000000003,-11.13,203.80236160806885,183.75080031246392,203.22322391036556,183.1631493383388
197.10273064409378,182.91843627528036,10.598286905499998,32.27,-11.13,199.8668078262838,183.58738189015378,197.13451083659845,182.92091006789806
204.77514230907593,182.91843627528036,10.91412989275,33.040000000000006,-11.200000000000001,202.9381457108591,183.49401452122973,204.68237991651526,182.9162866541804
201.8014112013241,183.40644531364077,11.22997288,33.74000000000001,-11.55,202.3824422000381,183.72147299667637,201.8705525858587,183.40286967633332
201.8014112013241,183.3930126276206,11.510722202,34.30000000000001,-11.9,202.14612332960968,183.74839677524292,201.78279242553978,183.39527540276984
204.77514230907593,182.92990619520597,11.791471524,34.930000000000014,-12.39,203.83583444608942,183.50930242722075,204.75767134735477,182.9329222142262
201.8014112013241,183.3930126276206,12.03712718075,35.77000000000002,-12.530000000000001,202.71344276193022,183.77552854746068,201.8345369679127,183.38898786772722
216.02737522097263,182.4797653425879,12.31787650275,36.68000000000002,-12.46,210.81410196615565,183.362070624537,215.9361755619689,182.48745919944312
204.77514230907593,182.9414665486056,12.59862582475,37.450000000000024,-12.670000000000002,207.3030259007078,183.41770817897816,204.9050531583557,182.93371929262605
199.65382575477474,183.15484442129983,12.94956247725,38.08000000000003,-13.440000000000001,202.85388047414796,183.51198992437116,199.6230312790827,183.15544749300383
